book_name,book_url,book_author,book_introduction
macOS Support Essentials 10.15 – Apple Pro Training Series,http://www.allitebooks.org/macos-support-essentials-10-15-apple-pro-training-series/,Adam Karneboge,macOS Support Essentials 10.15 – Apple Pro Training Series The Apple-Certified Way to Learn This is the official book for the macOS Support Essentials 10.15course and you can use it to prepare for the Apple Certified Support Professional (ACSP) 10.15 exam. It’s a top-notch primer for anyone who…
Web Security for Developers,http://www.allitebooks.org/web-security-for-developers/,Arek Dreyer,"Website security made easy. This book covers the most common ways websites get hacked and how web developers can defend themselves. The world has changed. Today, every time you make a site live, you’re opening it up to attack. A first-time developer can easily be discouraged by the…"
Science and Engineering Projects Using the Arduino and Raspberry Pi,http://www.allitebooks.org/science-and-engineering-projects-using-the-arduino-and-raspberry-pi/,Malcolm McDonald,"Hone your understanding of science and engineering concepts with the versatile Arduino microcontroller and powerful Raspberry Pi mini-computer. The simple, straightforward, fun projects in this book use the Arduino and Raspberry Pi to build systems that explore key scientific concepts and develop engineering skills. Areas explored include force/acceleration,…"
"LinkedIn Profile Optimization For Dummies, 2nd Edition",http://www.allitebooks.org/linkedin-profile-optimization-for-dummies-2nd-edition/,David Bradt,"Give your LinkedIn profile the makeover it deserves―and get the attention you deserve Look at your profile: you know it could be a little better. Too many LinkedIn users are just posting a basic resume and hoping for the offers to come flooding in, missing out on the incredible opportunity the platform…"
Visual Studio Extensibility Development,http://www.allitebooks.org/visual-studio-extensibility-development/,Paul Bradt,"Learn the extensibility model of Visual Studio to enhance the Visual Studio integrated development environment (IDE). This book will cover every aspect, starting from developing an extension to publishing it and making it available to the end user. The book begins with an introduction to the basic concepts…"
Python Workout,http://www.allitebooks.org/python-workout/,Donna Serdula,"Readers will not only tackle exercises using built-in data structures, but also more advanced techniques, such as functional programming, object-oriented programming, iterators, and generators. With each engaging challenge, readers will practice a new skill and learn how to apply it to everyday coding tasks."
Deep Learning with Pytorch,http://www.allitebooks.org/deep-learning-with-pytorch/,Rishabh Verma,"Every other day we hear about new ways to put deep learning to good use: improved medical imaging, accurate credit card fraud detection, long range weather forecasting, and more. PyTorch puts these superpowers in your hands, providing a comfortable Python experience that gets you started quickly and then…"
Hands-on Booting,http://www.allitebooks.org/hands-on-booting/,Yogesh Babar,"Master the booting procedure of various operating systems with in-depth analysis of bootloaders and firmware. The primary focus is on the Linux booting procedure along with other popular operating systems such as Windows and Unix. Hands-on Booting begins by explaining what a bootloader is, starting with the Linux…"
Practical R 4,http://www.allitebooks.org/practical-r-4/,Jon Westfall,"Get started with an accelerated introduction to the R ecosystem, programming language, and tools including R script and RStudio. Utilizing many examples and projects, this book teaches you how to get data into R and how to work with that data using R. Once grounded in the fundamentals,…"
Beginning Unity Android Game Development,http://www.allitebooks.org/beginning-unity-android-game-development/,Kishan Takoordyal,"Master the art of programming games for Android using the Unity3D game engine. This book will help you understand basic concepts of game development in Unity. By the end of Beginning Unity Android Game Development, you will have the knowledge to confidently build an Android game. The book…"
Learn Data Mining Through Excel,http://www.allitebooks.org/learn-data-mining-through-excel/,Hong Zhou,"Use popular data mining techniques in Microsoft Excel to better understand machine learning methods. Software tools and programming language packages take data input and deliver data mining results directly, presenting no insight on working mechanics and creating a chasm between input and output. This is where Excel can…"
JavaScript: The New Toys,http://www.allitebooks.org/javascript-the-new-toys/,T. J. Crowder,"All of JavaScript’s newest features, in depth, made easy to understand. JavaScript is a rapidly changing language and it can be challenging to keep up with all the new toys being added. JavaScript: The New Toys explores the newest features of the world’s most popular programming language while…"
Practical hapi,http://www.allitebooks.org/practical-hapi/,Kanika Sud,"Understand the core concepts of hapi and learn to build RESTful APIs that are quick, useful, and productive. Created by the mobile team at Walmart Labs, hapi is a light Node.js framework that is perfect for building API servers, websites, and HTTP proxy applications. With this quick guide,…"
Getting Started with Advanced C#,http://www.allitebooks.org/getting-started-with-advanced-c/,Vaskaran Sarcar,Understand and work with the most important features of advanced C# in different programming environments. This book teaches you the fundamental features of advanced C# and how to incorporate them in different programming techniques using Visual Studio 2019. The book is divided into two parts. Part I covers…
"Dynamics 365 Essentials, Second Edition",http://www.allitebooks.org/dynamics-365-essentials-second-edition/,Sarah Critchley,"Discover what the Common Data Service is and how Dynamics 365 fits in the Power Platform. Learn how to set up core Dynamics 365 Customer Engagement functionality and build more customized processes using model-driven apps. This book covers the Dynamics 365 Online system for sales, customer service, marketing,…"
"Beginning Sensor Networks with XBee, Raspberry Pi, and Arduino, Second Edition",http://www.allitebooks.org/beginning-sensor-networks-with-xbee-raspberry-pi-and-arduino-second-edition/,Charles Bell,"Build sensor networks with Python and MicroPython using XBee radio modules, Raspberry Pi, and Arduino boards. This revised and updated edition will put all of these together to form a sensor network, and show you how to turn your Raspberry Pi into a MySQL database server to store…"
IoT Development for ESP32 and ESP8266 with JavaScript,http://www.allitebooks.org/iot-development-for-esp32-and-esp8266-with-javascript/,Peter Hoddie,"This book introduces a new approach to embedded development, grounded in modern, industry-standard JavaScript. Using the same language that powers web browsers and Node.js, the Moddable SDK empowers IoT developers to apply many of the same tools and techniques used to build sophisticated websites and mobile apps. The…"
Webpack for Beginners,http://www.allitebooks.org/webpack-for-beginners/,Mohamed Bouzid,"Learn how to use Webpack from installation to configuration without the hassle of complex examples. Webpack has become one of the most popular module bundlers in recent years; it’s widely used by developers, companies, and organizations of all sizes, and many web frameworks use it for the management…"
Introducing Disaster Recovery with Microsoft Azure,http://www.allitebooks.org/introducing-disaster-recovery-with-microsoft-azure/,Bapi Chakraborty,"Explore and learn the key building blocks of Microsoft Azure services and tools for implementing a disaster-recovery solution of any on-premises or cloud-based application. In this book, you will go through various aspects of planning, designing, and configuring a robust recovery solution on Azure. Introducing Disaster Recovery with…"
Agile Artificial Intelligence in Pharo,http://www.allitebooks.org/agile-artificial-intelligence-in-pharo/,Alexandre Bergel,"Cover classical algorithms commonly used as artificial intelligence techniques and program agile artificial intelligence applications using Pharo. This book takes a practical approach by presenting the implementation details to illustrate the numerous concepts it explains. Along the way, you’ll learn neural net fundamentals to set you up for…"
Ensemble Learning for AI Developers,http://www.allitebooks.org/ensemble-learning-for-ai-developers/,Alok Kumar,"Ensemble Learning for AI Developers starts you at the beginning with an historical overview and explains key ensemble techniques and why they are needed. You then will learn how to change training data using bagging, bootstrap aggregating, random forest models, and cross-validation methods. Authors Kumar and Jain provide…"
Moving from Unity to Godot,http://www.allitebooks.org/moving-from-unity-to-godot/,Alan Thorn,"Godot is a completely free game engine for creating high-quality 2D and 3D games that can be launched on multiple platforms. You’ll see how to transition seamlessly from Unity to Godot, getting up and running quickly and effectively, using practical case studies. In addition to building functional worlds…"
The Modern Data Warehouse in Azure,http://www.allitebooks.org/the-modern-data-warehouse-in-azure/,Matt How,"Gone are the days when data warehousing projects were lumbering dinosaur-style projects that took forever, drained budgets, and produced business intelligence (BI) just in time to tell you what to do 10 years ago. This book will show you how to assemble a data warehouse solution like a…"
Beginning Apache Spark Using Azure Databricks,http://www.allitebooks.org/beginning-apache-spark-using-azure-databricks/,Robert Ilijason,"Analyze vast amounts of data in record time using Apache Spark with Databricks in the Cloud. Learn the fundamentals, and more, of running analytics on large clusters in Azure and AWS, using Apache Spark with Databricks on top. Discover how to squeeze the most value out of your…"
Articulate Storyline Essentials,http://www.allitebooks.org/articulate-storyline-essentials-2/,Ashley Chiasson,Storyline is a powerful e-learning authoring tool that allows you to take your creativity to the next level and easily author your own stories. It helps you to leverage built-in development functions to quickly create interactive and engaging e-learning experiences. This book will walk you through the life…
Django Standalone Apps,http://www.allitebooks.org/django-standalone-apps/,Ben Lopatin,"Develop standalone Django apps to serve as the reusable building blocks for larger Django projects. This book explores best practices for publishing these apps, with special considerations for testing Django apps, and strategies for extracting existing functionality into a separate package. This jumpstart reference is divided into four…"
"Pro ASP.NET Core 3, 8th. Edition",http://www.allitebooks.org/pro-asp-net-core-3-8th-edition/,Adam Freeman,"This bestselling comprehensive guide to ASP.NET Core is the only book you need for ASP.NET Core development. Period. Professional developers will produce leaner applications for the ASP.NET Core platform using the guidance in this full-color book, now in its 8th edition and updated for ASP.NET Core 3. It contains detailed explanations of…"
SAS Stored Processes,http://www.allitebooks.org/sas-stored-processes/,Philip Mason,Customize the SAS Stored Process web application to create amazing tools for end users. This book shows you how to use stored processes―SAS programs stored on a server and executed as required by requesting applications. Never before have there been so many ways to turn data into information…
Official Google Cloud Certified Professional Data Engineer Study Guide,http://www.allitebooks.org/official-google-cloud-certified-professional-data-engineer-study-guide/,Dan Sullivan,"The proven Study Guide that prepares you for this new Google Cloud exam The Google Cloud Certified Professional Data Engineer Study Guide, provides everything you need to prepare for this important exam and master the skills necessary to land that coveted Google Cloud Professional Data Engineer certification. Beginning with…"
Thinking in Pandas,http://www.allitebooks.org/thinking-in-pandas/,Hannah Stepanek,"Understand and implement big data analysis solutions in pandas with an emphasis on performance. This book strengthens your intuition for working with pandas, the Python data analysis library, by exploring its underlying implementation and data structures. Thinking in Pandas introduces the topic of big data and demonstrates concepts by…"
Building Single Page Applications in .NET Core 3,http://www.allitebooks.org/building-single-page-applications-in-net-core-3/,Michele Aponte,Attention .NET developers who no longer want to use JavaScript for your front end. Quickly and efficiently learn how to use C# for your single-page application (SPA) thanks to Blazor. Today’s reality is that most modern applications are web-based and if you want the same user experience as…
Modern Data Mining Algorithms in C++ and CUDA C,http://www.allitebooks.org/modern-data-mining-algorithms-in-c-and-cuda-c/,Timothy Masters,"Discover a variety of data-mining algorithms that are useful for selecting small sets of important features from among unwieldy masses of candidates, or extracting useful features from measured variables. As a serious data miner you will often be faced with thousands of candidate features for your prediction or…"
Advanced Perl Programming,http://www.allitebooks.org/advanced-perl-programming/,"William ""Bo"" Rothwell","William “Bo” Rothwell’s Advanced Perl Programming continues where his previous book left off, more or less, as it guides you through advanced techniques of the Perl programming language starting with command-line options, references, and arrays and hashes from advanced data types.  Next, you’ll learn about typeglobs for symbolic entries. Additionally,…"
DevSecOps for .NET Core,http://www.allitebooks.org/devsecops-for-net-core/,Afzaal Ahmad Zeeshan,"Automate core security tasks by embedding security controls and processes early in the DevOps workflow through DevSecOps. You will not only learn the various stages in the DevOps pipeline through examples of solutions developed and deployed using .NET Core, but also go through open source SDKs and toolkits that…"
"Mastering 3D Printing, 2nd Edition",http://www.allitebooks.org/mastering-3d-printing-2nd-edition/,Joan Horvath,"Get the most out of your printer, including how to design models, choose materials, work with different printers, and integrate 3D printing with traditional prototyping to make techniques like sand casting more efficient.This book is for new 3D printer owners, makers of all kinds, entrepreneurs, technology educators, and…"
Beginning Ring Programming,http://www.allitebooks.org/beginning-ring-programming/,Rich Cameron,"Gain a gentle introduction to the world of Ring programming with clarity as a first concern using a lot of practical examples. The first part lays the foundations of the language and its basic features (data types, control structures, functions, and classes). The unique way to rigorously structure…"
TYPO3 4.3 Multimedia Cookbook,http://www.allitebooks.org/typo3-4-3-multimedia-cookbook/,Mansour Ayouni,The TYPO3 Multimedia Cookbook presents over 50 effective recipes for managing multimedia in your TYPO3 site. Each recipe comprises step-by-step instructions followed by the analysis of what was done in each task and any relevant information. The book is designed so that you can refer to it chapter…
"Microsoft Blazor, 2nd Edition",http://www.allitebooks.org/microsoft-blazor-2nd-edition/,Peter Himschoot,Build web applications in C# and Microsoft .NET that run in any modern browser. This second edition is updated to work with the release version of Blazor and covers Blazor’s use in creating both server-side and WebAssembly Blazor applications. Developers are able to use all their experience in…
Understanding System.IO for .NET Core 3,http://www.allitebooks.org/understanding-system-io-for-net-core-3/,Roger Villela,Take full advantage of the .NET APIs in System.IO to achieve fundamental I/O operations and produce better quality software. You’ll start with the basics of creating a .NET Core custom library for System.IO. You will learn the purpose and benefits of a custom cross-platform .NET Core library along…
Beginning PyQt,http://www.allitebooks.org/beginning-pyqt/,Joshua M. Willman,"Learn GUI application development from the ground up, taking a practical approach by building simple projects that teach the fundamentals of using PyQt. Each chapter gradually moves on to teach more advanced and diverse concepts to aid you in designing interesting applications using the latest version of PyQt…."
"SQL Server Big Data Clusters, 2nd Edition",http://www.allitebooks.org/sql-server-big-data-clusters-2nd-edition/,Benjamin Weissman,Use this guide to one of SQL Server 2019’s most impactful features―Big Data Clusters. You will learn about data virtualization and data lakes for this complete artificial intelligence (AI) and machine learning (ML) platform within the SQL Server database engine. You will know how to use Big Data Clusters…
The Definitive Guide to Masonite,http://www.allitebooks.org/the-definitive-guide-to-masonite/,Enrico Van De Laar,"Build fast and effective applications using Masonite, a Python-based framework. This book covers creating a digital home assistant application, but it’s certainly not the only kind of application you could build. By working on this kind of project, you’ll cover the broad range of topics and requirements you’re…"
Mastering VMware vSphere 5.5,http://www.allitebooks.org/mastering-vmware-vsphere-5-5/,Christopher Pitt,"The 2013 edition of the bestselling vSphere book on the market Virtualization remains the hottest trend in the IT world, and VMware vSphere is the industry’s most widely deployed virtualization solution. The demand for IT professionals skilled in virtualization and cloud-related technologies is great and expected to keep…"
AWS Certified SysOps Administrator Practice Tests,http://www.allitebooks.org/aws-certified-sysops-administrator-practice-tests/,Joe Mancuso,"Study and prepare for the AWS Certified SysOps Administrator Associate (SOA-C01) Exam You can prepare for test success with AWS Certified SysOps Administrator Practice Tests: Associate (SOA-C01) Exam. It provides a total of 1,000 practice questions that get you ready for the exam. The majority of questions are found within…"
Unlocking Blockchain on Azure,http://www.allitebooks.org/unlocking-blockchain-on-azure/,Forbes Guthrie,"Design, architect, and build Blockchain applications with Azure in industrial scenarios to revolutionize conventional processes and data security. This book will empower you to build better decentralized applications that have stronger encryption, better architectures, and effective deployment structures over the cloud. You’ll start with an overview of Blockchain,…"
"IoT Machine Learning Applications in Telecom, Energy, and Agriculture",http://www.allitebooks.org/iot-machine-learning-applications-in-telecom-energy-and-agriculture/,Josh Atwell,"Apply machine learning using the Internet of Things (IoT) in the agriculture, telecom, and energy domains with case studies. This book begins by covering how to set up the software and hardware components including the various sensors to implement the case studies in Python. The case study section…"
Commercial and Industrial Internet of Things Applications with the Raspberry Pi,http://www.allitebooks.org/commercial-and-industrial-internet-of-things-applications-with-the-raspberry-pi/,Matt Liebowitz,"Use the Raspberry Pi and modern computing techniques to build industrial Internet of Things systems. Principles and theoretical aspects of IoT technologies combine with hands-on projects leading to detailed descriptions of several industrial IoT applications. This book presents real-life IoT applications based on the Raspberry Pi, beyond the…"
Spring Boot Persistence Best Practices,http://www.allitebooks.org/spring-boot-persistence-best-practices/,Anghel Leonard,"This book is a collection of developer code recipes and best practices for persisting data using Spring, particularly Spring Boot. The book is structured around practical recipes, where each recipe discusses a performance case or performance-related case, and almost every recipe has one or more applications. Mainly, when…"
PCI DSS,http://www.allitebooks.org/pci-dss/,Jim Seaman,"Gain a broad understanding of how PCI DSS is structured and obtain a high-level view of the contents and context of each of the 12 top-level requirements. The guidance provided in this book will help you effectively apply PCI DSS in your business environments, enhance your payment card…"
Apple macOS and iOS System Administration,http://www.allitebooks.org/apple-macos-and-ios-system-administration/,Drew Smith,Effectively manage Apple devices anywhere from a handful of Macs at one location to thousands of iPhones across many locations. This book is a comprehensive guide for supporting Mac and iOS devices in organizations of all sizes. You’ll learn how to control a fleet of macOS clients using…
Programming with 64-Bit ARM Assembly Language,http://www.allitebooks.org/programming-with-64-bit-arm-assembly-language/,Stephen Smith,Mastering ARM hardware architecture opens a world of programming for nearly all phones and tablets including the iPhone/iPad and most Android phones. It’s also the heart of many single board computers like the Raspberry Pi. Gain the skills required to dive into the fundamentals of the ARM hardware…
The Project Managers Guide to Microsoft Project 2019,http://www.allitebooks.org/the-project-managers-guide-to-microsoft-project-2019/,Gus Cicala,"Learn Microsoft Project 2019 from the perspective of the project manager. This guide is an all-in-one training resource and reference that covers all versions found in the Microsoft Project 2019 suite. It is not a “how-to” manual covering the features and functions of the software, but is designed…"
Natural Language Processing with Python and spaCy,http://www.allitebooks.org/natural-language-processing-with-python-and-spacy/,Yuli Vasiliev,"An introduction to natural language processing with Python using spaCy, a leading Python natural language processing library. Natural Language Processing with Python and spaCy will show you how to create NLP applications like chatbots, text-condensing scripts, and order-processing tools quickly and easily. You’ll learn how to leverage the spaCy…"
Developing Inclusive Mobile Apps,http://www.allitebooks.org/developing-inclusive-mobile-apps/,Rob Whitaker,"By failing to consider those with needs different to ourselves, we are telling these people they are not welcome in our app, and therefore that technology as a whole, is not for them. This is not hyperbole―23% of people in the US with a registered disability aren’t online…"
"C++20 Recipes, 2nd Edition",http://www.allitebooks.org/c20-recipes-2nd-edition/,Bruce Sutherland,"Discover the newest major features of C++20, including modules, concepts, spaceship operators, and smart pointers. This book is a handy code cookbook reference guide that covers the C++ core language standard as well as some of the code templates available in standard template library (STL). In C++20 Recipes: A Problem-Solution…"
C# 8.0 in a Nutshell,http://www.allitebooks.org/c-8-0-in-a-nutshell/,J. Burton Browning,"When you have questions about C# 8.0 or .NET Core, this best-selling guide has the answers you need. C# is a language of unusual flexibility and breadth, but with its continual growth there’s so much more to learn. In the tradition of the O’Reilly Nutshell guides, this thoroughly…"
"Teach Yourself VISUALLY MacBook Pro and MacBook Air, 5th Edition",http://www.allitebooks.org/teach-yourself-visually-macbook-pro-and-macbook-air-5th-edition/,Eric Johannsen,"The visual learner’s ultimate guide to the MacBook Pro, MacBook Air and macOS Catalina Teach Yourself VISUALLY MacBook is your ultimate guide to getting up and running quickly with your new MacBook Pro or MacBook Air! Whether you’re new to computers or transitioning from a PC, this graphics-heavy guide…"
Python One-Liners,http://www.allitebooks.org/python-one-liners/,Christian Mayer,"Python programmers will improve their computer science skills with these useful one-liners. Python One-Liners will teach you how to read and write “one-liners”: concise statements of useful functionality packed into a single line of code. You’ll learn how to systematically unpack and understand any line of Python code, and…"
Microsoft Teams For Dummies,http://www.allitebooks.org/microsoft-teams-for-dummies/,Rosemarie Withee,Discover the power of Microsoft Teams Millions of people access Microsoft Teams every day to assist with the collaboration it takes to get work done.  That number continues to grow thanks to the countless communication tools for working with associates inside and outside your organization you can find…
Elm in Action,http://www.allitebooks.org/elm-in-action/,Richard Feldman,"Elm is more than just a cutting-edge programming language, it’s a chance to upgrade the way developers think about building web applications. Elm in Action teaches readers how to build well-designed, highly performant web applications using the Elm language. As they read, they’ll follow an application called Photo Groove…"
Learning Virtual Reality,http://www.allitebooks.org/learning-virtual-reality/,Tony Parisi,"As virtual reality approaches mainstream consumer use, a vibrant development ecosystem has emerged in the past few years. This hands-on guide takes you through VR development essentials for desktop, mobile, and browser-based applications. You’ll explore the three go-to platforms—OculusVR, Gear VR, and Cardboard VR—as well as several VR…"
Introducing the HTML5 Web Speech API,http://www.allitebooks.org/introducing-the-html5-web-speech-api/,Alex Libby,Leverage the power of HTML5 Web Speech API to quickly add voice capabilities to your websites. This project-oriented book simplifies the process of setting up and manipulating the API in the browser using little more than a text editor or free software. You’ll be presented with a starting…
Practical MATLAB Modeling with Simulink,http://www.allitebooks.org/practical-matlab-modeling-with-simulink/,Sulaymon L. Eshkabilov,"Employ the essential and hands-on tools and functions of MATLAB’s ordinary differential equation (ODE) and partial differential equation (PDE) packages, which are explained and demonstrated via interactive examples and case studies. This book contains dozens of simulations and solved problems via m-files/scripts and Simulink models which help you…"
CCNA 200-301 Official Cert Guide Library,http://www.allitebooks.org/ccna-200-301-official-cert-guide-library/,Wendell Odom,"Cisco Press has the only study guides approved by Cisco for the new CCNA certification. The new edition of the best-selling two-book value-priced CCNA 200-301 Official Cert Guide Library includes updated content, new online practice exercises, more than 600 practice exam questions, and more than 2 hours of video training–PLUS…"
"iPhone For Dummies, 13th Edition",http://www.allitebooks.org/iphone-for-dummies-13th-edition/,Edward C. Baig,"Unleash the power of your iPhone! The iPhone you carry in your pocket or purse gives you enormous power to get things done. It puts you within easy reach of your family and friends, provides instant access to your favorite music, TV, and movies, lets you to follow…"
Building React Apps with Server-Side Rendering,http://www.allitebooks.org/building-react-apps-with-server-side-rendering/,Mohit Thakkar,Leverage the benefits of both client-side and server-side rendering to get the most out of your React applications. By the end of this book you will be able to build and deploy React applications using the Next.js framework to fully render server-side HTML on every Web page. You’ll…
Jakarta EE Recipes,http://www.allitebooks.org/jakarta-ee-recipes/,Josh Juneau,"Take a problem-solution approach to programming enterprise Java applications and microservices for cloud-based solutions, enterprise database applications, and even small business web applications. This book provides effective and proven code snippets that you can immediately use to accomplish just about any task that you may encounter. You can feel…"
Data Structures and Algorithms in Swift,http://www.allitebooks.org/data-structures-and-algorithms-in-swift/,Elshad Karimov,Control the performance and stability of the apps you develop in Swift by working with and understanding advanced concepts in data structures and algorithms. All professional developers have to know which data structure and algorithms to use in their development process. Your choice directly affects the performance of…
Microsoft Azure For Dummies,http://www.allitebooks.org/microsoft-azure-for-dummies/,Timothy L. Warner,"Your roadmap to Microsoft Azure Azure is Microsoft’s flagship cloud computing platform. With over 600 services available to over 44 geographic regions, it would take a library of books to cover the entire Azure ecosystem.  Microsoft Azure For Dummies offers a shortcut to getting familiar with Azure’s core product…"
PowerPoint 2019 For Dummies,http://www.allitebooks.org/powerpoint-2019-for-dummies/,Doug Lowe,"Get up and running fast with the PowerPoint 2019 PowerPoint continues to be the go-to tool for business presentations. The software helps anyone who needs to communicate clearly by creating powerful and effective slideshow presentations featuring data in the form of charts, clip art, sound, and video. You…"
Practical Highcharts with Angular,http://www.allitebooks.org/practical-highcharts-with-angular/,Sourabh Mishra,"Learn to create stunning animated and interactive charts using Highcharts and Angular. Use and build on your existing knowledge of HTML, CSS, and JavaScript to develop impressive dashboards that will work in all modern browsers. You will learn how to use Highcharts, call backend services for data, and…"
"iPad For Seniors For Dummies, 12th Edition",http://www.allitebooks.org/ipad-for-seniors-for-dummies-12th-edition/,Dwight Spivey,"Get to know the exciting features of your new iPad! The iPad can do almost anything: entertain you, help you stay in touch with the world, boost your productivity, and more. If you have lots of life experience but are a little less tech savvy, iPad For Seniors For…"
Impractical Python Projects,http://www.allitebooks.org/impractical-python-projects/,Lee Vaughan,"Impractical Python Projects is a collection of fun and educational projects designed to entertain programmers while enhancing their Python skills. It picks up where the complete beginner books leave off, expanding on existing concepts and introducing new tools that you’ll use every day. And to keep things interesting, each…"
Cognitive Virtual Assistants Using Google Dialogflow,http://www.allitebooks.org/cognitive-virtual-assistants-using-google-dialogflow/,Amit Agrawal,"Follow a step-by-step, hands-on approach to building production-ready enterprise cognitive virtual assistants using Google Dialogflow. This book provides an overview of the various cognitive technology choices available and takes a deep dive into cognitive virtual agents for handling complex real-life use cases in various industries such as travel…"
MySQL 8 Query Performance Tuning,http://www.allitebooks.org/mysql-8-query-performance-tuning/,Navin Sabharwal,"Identify, analyze, and improve poorly performing queries that damage user experience and lead to lost revenue for your business. This book will help you make query tuning an integral part of your daily routine through a multi-step process that includes monitoring of execution times, identifying candidate queries for…"
PostgreSQL Configuration,http://www.allitebooks.org/postgresql-configuration/,Jesper Wisborg Krogh,Obtain all the skills you need to configure and manage a PostgreSQL database. In this book you will begin by installing and configuring PostgreSQL on a server by focusing on system-level parameter settings before installation. You will also look at key post-installation steps to avoid issues in the…
"Teach Yourself VISUALLY iPhone 11, 11Pro, and 11 Pro Max, 5th Edition",http://www.allitebooks.org/teach-yourself-visually-iphone-11-11pro-and-11-pro-max-5th-edition/,Baji Shaik,"Know your new iPhone 11, 11 Pro, and 11 Pro Max from the inside-out with 900 color screen shots! Teach Yourself VISUALLY iPhone is your ultimate guide to getting the most out of your iPhone! Apple’s graphics-driven iOS is perfect for visual learners, so this book uses a visual…"
Head First Go,http://www.allitebooks.org/head-first-go/,Jay McGavren,"What will you learn from this book? Go makes it easy to build software that’s simple, reliable, and efficient. Andthis book makes it easy for programmers like you to get started. Googledesigned Go for high-performance networking and multiprocessing, but—like Python and JavaScript—the language is easy to read and…"
